pathology,strength,runs,label_rule_recovery_mean,label_rule_recovery_min,label_rule_recovery_max,overlay_auc_mean,overlay_auc_min,overlay_auc_max,date_lift_mean,date_lift_min,date_lift_max,positive_row_event_ratio_mean,positive_row_event_ratio_min,positive_row_event_ratio_max
date_confound,0.0,100,0.7714666666666666,0.7066666666666667,0.8233333333333334,0.5008367055433379,0.3923543315178296,0.6157673595754091,0.0,0.0,0.0,1.0,1.0,1.0
date_confound,0.25,100,0.7714666666666666,0.7066666666666667,0.8233333333333334,0.5008367055433379,0.3923543315178296,0.6157673595754091,0.0,0.0,0.0,1.0,1.0,1.0
date_confound,0.5,100,0.7714666666666666,0.7066666666666667,0.8233333333333334,0.5008367055433379,0.3923543315178296,0.6157673595754091,0.0010666666666666645,0.0,0.020000000000000018,1.0,1.0,1.0
date_confound,0.75,100,0.7714666666666666,0.7066666666666667,0.8233333333333334,0.5008367055433379,0.3923543315178296,0.6157673595754091,0.022233333333333324,0.0,0.06999999999999995,1.0,1.0,1.0
date_confound,1.0,100,0.7714666666666666,0.7066666666666667,0.8233333333333334,0.5008367055433379,0.3923543315178296,0.6157673595754091,0.12119999999999999,0.06999999999999995,0.17000000000000004,1.0,1.0,1.0
event_duplication,0.0,100,0.7714666666666666,0.7066666666666667,0.8233333333333334,0.5008367055433379,0.3923543315178296,0.6157673595754091,0.0,0.0,0.0,1.0,1.0,1.0
event_duplication,0.25,100,0.772700368456395,0.6956521739130435,0.8324468085106383,0.5008367055433379,0.3923543315178296,0.6157673595754091,0.0023713532697384777,0.0,0.03749999999999998,3.0,3.0,3.0
event_duplication,0.5,100,0.7735374243537553,0.6880733944954128,0.838495575221239,0.5008367055433379,0.3923543315178296,0.6157673595754091,0.033652225404410444,0.0,0.124,5.0,5.0,5.0
event_duplication,0.75,100,0.7743906771781722,0.6784565916398714,0.8445229681978799,0.5008367055433379,0.3923543315178296,0.6157673595754091,0.07464479659142353,0.016742770167427756,0.16195856873822978,8.0,8.0,8.0
event_duplication,1.0,100,0.7747991553687156,0.6722689075630253,0.8509212730318257,0.5008367055433379,0.3923543315178296,0.6157673595754091,0.05706527268144943,0.005464480874316946,0.15469613259668502,10.0,10.0,10.0
label_circularity,0.0,100,0.7714666666666666,0.7066666666666667,0.8233333333333334,0.5008367055433379,0.3923543315178296,0.6157673595754091,0.0,0.0,0.0,1.0,1.0,1.0
label_circularity,0.25,100,0.8294,0.7666666666666667,0.8733333333333333,0.5013390186548758,0.4055741561849606,0.6016512784090909,0.0,0.0,0.0,1.0,1.0,1.0
label_circularity,0.5,100,0.8871333333333333,0.8266666666666667,0.93,0.5038844041576928,0.40554614467657946,0.6040509177860609,6.666666666666599e-05,0.0,0.006666666666666599,1.0,1.0,1.0
label_circularity,0.75,100,0.9453666666666666,0.9133333333333333,0.9766666666666667,0.5044377741526802,0.4300015975291549,0.6046497324558706,0.00013333333333333418,0.0,0.010000000000000009,1.0,1.0,1.0
label_circularity,1.0,100,1.0,1.0,1.0,0.5026313175602314,0.43729575163398693,0.6114975005433602,0.0006666666666666665,0.0,0.01333333333333342,1.0,1.0,1.0
verdict_overlay,0.0,100,0.7714666666666666,0.7066666666666667,0.8233333333333334,0.496199117767895,0.35711716033097496,0.6287870619946092,0.0,0.0,0.0,1.0,1.0,1.0
verdict_overlay,0.25,100,0.7714666666666666,0.7066666666666667,0.8233333333333334,0.7001740620568697,0.5579389650597081,0.8121077888519749,0.0,0.0,0.0,1.0,1.0,1.0
verdict_overlay,0.5,100,0.7714666666666666,0.7066666666666667,0.8233333333333334,0.8547589860316596,0.7455771782397169,0.9362193652069104,0.0,0.0,0.0,1.0,1.0,1.0
verdict_overlay,0.75,100,0.7714666666666666,0.7066666666666667,0.8233333333333334,0.9439687788805124,0.878482972136223,0.9835275210928084,0.0,0.0,0.0,1.0,1.0,1.0
verdict_overlay,1.0,100,0.7714666666666666,0.7066666666666667,0.8233333333333334,0.9834050547386408,0.9535915577407363,0.9968516791044776,0.0,0.0,0.0,1.0,1.0,1.0
